selection_rank	h	r	t	cut_id	auxiliary_h	auxiliary_r	auxiliary_t
18	Q100	P31	Q1549591	0	Q1056123	P159	Q100
27	Q1001	P31	Q5	2	Q1001	P27	Q668
29	Q100172	P31	Q4164871	3	Q98964	P276	Q270
3	Q100272953	P31	Q15702752	5	Q15702752	P1074	Q107391611
34	Q100416	P31	Q13406463	7	Q100416	P360	Q5
19	Q1004668	P31	Q105543609	8	Q1004668	P166	Q276
14	Q1008	P31	Q6256	13	Q1522558	P1532	Q1008
20	Q1009	P31	Q6256	14	Q1860	P17	Q1009
38	Q101195558	P31	Q559618	23	Q844	P407	Q1860
6	Q101251117	P31	Q18663566	35	Q101251118	P1365	Q101251117
36	Q101412903	P31	Q18663566	47	Q101412903	P3842	Q17139
7	Q101413238	P31	Q18663566	48	Q101413238	P1366	Q17139
39	Q10144516	P31	Q4167836	59	Q10144516	P4224	Q41176
33	Q101500055	P31	Q158218	60	Q101500055	P30	Q49
50	Q101542498	P31	Q18663566	62	Q264206	P1365	Q101542498
30	Q1016	P31	Q6256	69	Q1016	P2853	Q1123613
42	Q101600	P31	Q17444909	70	Q3132741	P5869	Q101600
4	Q102066	P31	Q1047113	74	Q102066	P1269	Q61509
1	Q102123333	P31	Q16521	77	Q102123333	P105	Q7432
49	Q102128341	P31	Q16521	78	Q102128341	P105	Q7432
2	Q1021645	P31	Q29028649	80	Q157062	P1056	Q1187656
23	Q1022	P31	Q1549591	81	Q1022	P190	Q1489
28	Q102235	P31	Q11424	82	Q102235	P272	Q126399
17	Q102244	P31	Q11424	83	Q102244	P156	Q102448
48	Q10232928	P31	Q4167836	87	Q3273417	P921	Q349
5	Q102362359	P31	Q63141557	91	Q17776219	P12912	Q602446
9	Q102402	P31	Q386208	93	Q203384	P138	Q1068978
35	Q102438	P31	Q11424	94	Q102438	P364	Q1860
45	Q102448	P31	Q11424	95	Q102448	P750	Q126399
22	Q102673	P31	Q4830453	97	Q102673	P1830	Q50123305
13	Q102731386	P31	Q13023500	98	Q869	P150	Q240520
40	Q102734420	P31	Q13023500	99	Q239844	P47	Q244649
46	Q102754	P31	Q11424	100	Q102754	P840	Q84
15	Q10281916	P31	Q1408581	101	Q10281918	P155	Q10281916
25	Q1030	P31	Q6256	114	Q97	P205	Q1030
41	Q10303708	P31	Q5398426	115	Q10303708	P495	Q155
24	Q10308	P31	Q476028	116	Q1488480	P1923	Q10308
44	Q103168123	P31	Q16970	119	Q12769605	P708	Q168404
37	Q1032292	P31	Q7889	122	Q1032292	P400	Q1406
47	Q1032900	P31	Q559618	124	Q156539	P915	Q1408
16	Q103403201	P31	Q105543609	128	Q103403201	P1552	Q63141557
12	Q1035	P31	Q5	133	Q1035	P1412	Q1860
10	Q10358425	P31	Q19860854	138	Q58048155	P140	Q1841
31	Q103841109	P31	Q134556	150	Q103841109	P291	Q145
26	Q1039	P31	Q6256	152	Q1039	P206	Q97
21	Q103928246	P31	Q16521	154	Q103928246	P183	Q668
43	Q104095368	P31	Q16521	168	Q27075129	P703	Q104095368
11	Q104123	P31	Q11424	171	Q104123	P1411	Q1320315
8	Q1041962	P31	Q763288	179	Q1041962	P137	Q42262
32	Q1042	P31	Q6256	181	Q1042	P2936	Q1860
